date_bldg_,time_bldg_,bldg_condi,date_bld_2,time_bld_2,date_bld_3,time_bld_3,bldg_id,bldg_name1,bldg_name2,bldg_sq_fo,bldg_statu,cdb_city_i,comments,date_condi,time_condi,create_use,date_demol,time_demol,date_edit_,time_edit_,edit_sourc,edit_useri,f_add1,footprint_,harris_str,label_hous,no_of_unit,no_stories,non_standa,orig_bldg_,pre_dir1,date_qc_da,time_qc_da,qc_source,qc_userid,shape_area,shape_len,st_name1,st_type1,stories,suf_dir1,t_add1,unit_name,vacancy_st,x_coord,y_coord,year_built,z_coord,xcoord,ycoord
1998-04-01,08:00:00.000,,1998-04-01,08:00:00.000,,,352202.0000000000000000000000000000000,HYATT REGENCY HOTEL,,0.0000000000000000000000000000000,ACTIVE,,HOTEL HIGH RISE,,,,,,2007-02-14,08:00:00.000,FIELDWORK,DS01228,201.0000000000000000000000000000000,AERIALS98,,"201",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,352202.0000000000000000000000000000000,E,,,,,18475.1250000000000000000000000000000,697.8082223200000271390308625996113,WACKER,DR,33.0000000000000000000000000000000,,201.0000000000000000000000000000000,REAR,,1178011.4979311299975961446762084960938,1902272.2419233298860490322113037109375,1980.0000000000000000000000000000000,0.0000000000000000000000000000000,448417.826172805,4637432.01659823
1998-04-01,08:00:00.000,SOUND,1998-04-01,08:00:00.000,,,362058.0000000000000000000000000000000,HAROLD WASHINGTON,CHICAGO PUBLIC LIBRARY,972000.0000000000000000000000000000000,ACTIVE,,,2002-11-01,08:00:00.000,,,,2002-12-20,08:00:00.000,FIELDWORK,HAG,400.0000000000000000000000000000000,AERIALS98,"01716247045000","400",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,362058.0000000000000000000000000000000,S,,,,,74565.8750000000000000000000000000000,1132.8846660199999405449489131569862,STATE,ST,9.0000000000000000000000000000000,,400.0000000000000000000000000000000,,,1176282.3042556000873446464538574218750,1898329.7295776600949466228485107421875,1990.0000000000000000000000000000000,0.0000000000000000000000000000000,447872.431560897,4636234.36033459
1998-04-01,08:00:00.000,,1998-04-01,08:00:00.000,,,353097.0000000000000000000000000000000,,,0.0000000000000000000000000000000,ACTIVE,,CTA STRUCTURES,,,,,,,,,,0.0000000000000000000000000000000,AERIALS98,,"0",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,353097.0000000000000000000000000000000,,,,,,357.5000000000000000000000000000000,76.5056810847000008379836799576879,,,0.0000000000000000000000000000000,,0.0000000000000000000000000000000,,,1174671.6459060499910265207290649414062,1901747.3098245700821280479431152343750,0.0000000000000000000000000000000,0.0000000000000000000000000000000,447397.837032104,4637289.6689072
2007-12-10,08:00:00.000,,2007-12-10,08:00:00.000,,,870700.0000000000000000000000000000000,,,0.0000000000000000000000000000000,ACTIVE,,,,,DS06183,,,2007-12-10,08:00:00.000,PARCELS,DS06183,1321.0000000000000000000000000000000,AERIALS,,"1321",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,372683.0000000000000000000000000000000,S,2007-12-10,08:00:00.000,,DS06183,701.0700000000000500222085975110531,112.4259212810000008175848051905632,PLYMOUTH,CT,0.0000000000000000000000000000000,,1321.0000000000000000000000000000000,F,,1176378.6431121199857443571090698242188,1894272.3385121200699359178543090820312,0.0000000000000000000000000000000,0.0000000000000000000000000000000,447882.542961748,4635004.57828822
2007-12-10,08:00:00.000,,2007-12-10,08:00:00.000,,,870852.0000000000000000000000000000000,,,0.0000000000000000000000000000000,ACTIVE,,,,,DS06183,,,2007-12-10,08:00:00.000,PARCELS,DS06183,1426.0000000000000000000000000000000,AERIALS,,"1426",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,374239.0000000000000000000000000000000,S,2007-12-10,08:00:00.000,,DS06183,992.6299999999999954525264911353588,127.6360005589999957464897306635976,FEDERAL,ST,0.0000000000000000000000000000000,,1426.0000000000000000000000000000000,C,,1175895.4431121100205928087234497070312,1893563.6385121198836714029312133789062,0.0000000000000000000000000000000,0.0000000000000000000000000000000,447731.997047966,4634791.01568604
2007-12-10,08:00:00.000,,2007-12-10,08:00:00.000,,,870903.0000000000000000000000000000000,,,0.0000000000000000000000000000000,ACTIVE,,,,,DS06183,,,2007-12-10,08:00:00.000,PARCELS,DS06183,1438.0000000000000000000000000000000,AERIALS,,"1438",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,870899.0000000000000000000000000000000,S,2007-12-10,08:00:00.000,,DS06183,930.6200000000000045474735088646412,122.6798600070000020423321984708309,FEDERAL,ST,0.0000000000000000000000000000000,,1438.0000000000000000000000000000000,,,1175927.3431121099274605512619018554688,1893443.8385121200699359178543090820312,0.0000000000000000000000000000000,0.0000000000000000000000000000000,447741.104109034,4634754.37406969
1998-04-01,08:00:00.000,,1998-04-01,08:00:00.000,,,814435.0000000000000000000000000000000,GOODMAN THEATER CENTER,,0.0000000000000000000000000000000,ACTIVE,,,,,,,,2002-12-20,08:00:00.000,FIELDWORK,AJF,150.0000000000000000000000000000000,AERIALS98,,"150",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,814435.0000000000000000000000000000000,N,,,,,12500.8750000000000000000000000000000,475.5827597470000114299182314425707,DEARBORN,ST,4.0000000000000000000000000000000,,150.0000000000000000000000000000000,,,1175793.2116422499530017375946044921875,1901360.4116764499340206384658813476562,0.0000000000000000000000000000000,0.0000000000000000000000000000000,447738.102770443,4637166.03789098
1998-04-01,08:00:00.000,NEEDS MINOR REPAIR,1998-04-01,08:00:00.000,,,373810.0000000000000000000000000000000,,,0.0000000000000000000000000000000,ACTIVE,,,2001-10-01,07:00:00.000,,,,,,,,1401.0000000000000000000000000000000,AERIALS98,"01722108001000","1401",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,373810.0000000000000000000000000000000,S,,,,,4183.5000000000000000000000000000000,268.0494191980000096009462140500546,MICHIGAN,AVE,2.0000000000000000000000000000000,,1401.0000000000000000000000000000000,,,1177534.8323071000631898641586303710938,1893818.6894541899673640727996826171875,0.0000000000000000000000000000000,0.0000000000000000000000000000000,448232.600273575,4634859.9806499
1998-04-01,08:00:00.000,,1998-04-01,08:00:00.000,,,350477.0000000000000000000000000000000,UNDER CONSTRUCTION/REHAB,,0.0000000000000000000000000000000,ACTIVE,,SPLIT- GAVE CLARK ADDRESS,,,,,,2002-12-20,08:00:00.000,FIELDWORK,KSR,400.0000000000000000000000000000000,AERIALS98,,"400",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,350477.0000000000000000000000000000000,N,,,,,3760.2500000000000000000000000000000,252.0678806749999978364940034225583,CLARK,ST,0.0000000000000000000000000000000,,400.0000000000000000000000000000000,,,1175387.6000593400094658136367797851562,1903066.1277258100453764200210571289062,0.0000000000000000000000000000000,0.0000000000000000000000000000000,447622.136530121,4637687.52091492
2007-12-10,08:00:00.000,,2007-12-10,08:00:00.000,,,870673.0000000000000000000000000000000,,,0.0000000000000000000000000000000,ACTIVE,,,,,DS06183,,,2007-12-10,08:00:00.000,PARCELS,DS06183,1313.0000000000000000000000000000000,AERIALS,,"1313",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,372308.0000000000000000000000000000000,S,2007-12-10,08:00:00.000,,DS06183,567.8650000000000090949470177292824,104.0452025040000023636821424588561,PLYMOUTH,CT,0.0000000000000000000000000000000,,1313.0000000000000000000000000000000,C,,1176455.1431121199857443571090698242188,1894485.6385121198836714029312133789062,0.0000000000000000000000000000000,0.0000000000000000000000000000000,447906.819418975,4635069.23463386
2007-12-10,08:00:00.000,,2007-12-10,08:00:00.000,,,870719.0000000000000000000000000000000,,,0.0000000000000000000000000000000,ACTIVE,,,,,DS06183,,,2007-12-10,08:00:00.000,PARCELS,DS06183,1337.0000000000000000000000000000000,AERIALS,,"1337",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,372994.0000000000000000000000000000000,S,2007-12-10,08:00:00.000,,DS06183,874.4099999999999681676854379475117,122.0265897990000070194582804106176,PLYMOUTH,CT,0.0000000000000000000000000000000,,1337.0000000000000000000000000000000,,,1176311.9431121100205928087234497070312,1894109.4385121199302375316619873046875,0.0000000000000000000000000000000,0.0000000000000000000000000000000,447861.386754064,4634955.30302492
2007-12-06,08:00:00.000,,2007-12-06,08:00:00.000,,,870345.0000000000000000000000000000000,,,0.0000000000000000000000000000000,ACTIVE,,,,,DT00211,,,2007-12-06,08:00:00.000,PARCELS,DT00211,1476.0000000000000000000000000000000,AERIALS,,"1476",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,374579.0000000000000000000000000000000,S,2007-12-06,08:00:00.000,,DT00211,949.8799999999999954525264911353588,147.0589218069999901672417763620615,PRAIRIE,AVE,0.0000000000000000000000000000000,,1476.0000000000000000000000000000000,D,,1178094.0431121198926120996475219726562,1893347.8385121200699359178543090820312,0.0000000000000000000000000000000,0.0000000000000000000000000000000,448400.740524846,4634714.41921716
2007-12-11,08:00:00.000,,2007-12-11,08:00:00.000,,,870977.0000000000000000000000000000000,,,0.0000000000000000000000000000000,ACTIVE,,,,,DS06183,,,2007-12-11,08:00:00.000,PARCELS,DS06183,1444.0000000000000000000000000000000,AERIALS,,"1444",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,374566.0000000000000000000000000000000,S,2007-12-11,08:00:00.000,,DS06183,396.9200000000000159161572810262442,95.4437816278000070724374381825328,STATE,ST,0.0000000000000000000000000000000,,1444.0000000000000000000000000000000,,,1176481.2431121200788766145706176757812,1893344.9385121199302375316619873046875,0.0000000000000000000000000000000,0.0000000000000000000000000000000,447909.673183776,4634721.55141707
2002-12-20,08:00:00.000,,2002-12-20,08:00:00.000,,,814346.0000000000000000000000000000000,THEATER DISTRICT SELF PARK,,0.0000000000000000000000000000000,ACTIVE,,,,,,,,2007-02-14,08:00:00.000,FIELDWORK,DS01228,181.0000000000000000000000000000000,AERIALS98,,"181",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,353189.0000000000000000000000000000000,N,,,,,30341.0000000000000000000000000000000,707.0890853719999995519174262881279,DEARBORN,ST,12.0000000000000000000000000000000,,195.0000000000000000000000000000000,,,1176033.7529571400955319404602050781250,1901626.2419233398977667093276977539062,1987.0000000000000000000000000000000,0.0000000000000000000000000000000,447812.250242852,4637242.75796986
2002-12-20,08:00:00.000,,2002-12-20,08:00:00.000,,,814357.0000000000000000000000000000000,,,0.0000000000000000000000000000000,ACTIVE,,,,,,,,2002-12-20,08:00:00.000,FIELDWORK,AJF,209.0000000000000000000000000000000,AERIALS98,,"209",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,353251.0000000000000000000000000000000,W,,,,,4975.2500000000000000000000000000000,392.0783503100000189078855328261852,LAKE,ST,4.0000000000000000000000000000000,,209.0000000000000000000000000000000,,,1174576.9005599499214440584182739257812,1901612.5690838301088660955429077148438,0.0000000000000000000000000000000,0.0000000000000000000000000000000,447368.377784896,4637245.91299269
1998-04-01,08:00:00.000,,1998-04-01,08:00:00.000,,,350353.0000000000000000000000000000000,,,0.0000000000000000000000000000000,ACTIVE,,,,,,,,,,,,411.0000000000000000000000000000000,AERIALS98,,"411",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,350353.0000000000000000000000000000000,N,,,,,148197.5000000000000000000000000000000,1910.2069211800001085066469386219978,HALSTED,ST,0.0000000000000000000000000000000,,411.0000000000000000000000000000000,,,1171315.3066212600097060203552246093750,1903064.6925406900700181722640991210938,0.0000000000000000000000000000000,0.0000000000000000000000000000000,446376.936816325,4637701.116748
1998-04-01,08:00:00.000,,1998-04-01,08:00:00.000,,,353106.0000000000000000000000000000000,,,0.0000000000000000000000000000000,ACTIVE,,CTA STRUCTURES,,,,,,,,,,0.0000000000000000000000000000000,AERIALS98,,"0",0.0000000000000000000000000000000,0.0000000000000000000000000000000,,353106.0000000000000000000000000000000,,,,,,443.8750000000000000000000000000000,93.5037311355000042567553464323282,,,0.0000000000000000000000000000000,,0.0000000000000000000000000000000,,,1174597.3959060499910265207290649414062,1901744.6246393900364637374877929687500,0.0000000000000000000000000000000,0.0000000000000000000000000000000,447375.190227341,4637289.25895748
